HIP	HD	2MASS	Fe	Eu	EuII	
5336 	6582 	01081597+5455148 	-0.84 	-0.48 		
7751 	10360 		-0.23 	0.14 		
7918 	10307 	01414714+4236483 	0.02 	0.14 	0.2 	
7981 	10476 	01422977+2016073 	-0.04 	0.005 	0.25 	
8362 	10780 	01474488+6351090 	0.03 	0.13 	0.5 	
10644 	13974 	02170303+3413278 	-0.49 	-0.335 	-0.02 	
10798 	14412 	02185853-2556451 	-0.47 	-0.045 	0.15 	
12777 	16895 	02441197+4913423 	0.01 	0.04 	0.25 	
12843 	17206 	02450616-1834211 	0.05 	1.03 		
13402 	17925 	02523210-1246109 	0.1 	0.105 	0.43 	
14632 	19373 	03090387+4936479 	0.095 	0.09 	0.11 	
14879 	20010 		-0.235 	-0.06 		
15330 	20766 	03174616-6234313 	-0.24 	-0.07 		
15457 	20630 	03192169+0322126 	0.0715 	0.095 	0.28 	
16852 	22484 	03365238+0024054 	-0.0425 	-0.01 	-8.67362e-18 	
22263 	30495 	04473628-1656041 	0.01 	0.05 	0.225 	
22449 	30652 	04495040+0657409 	0.01 	0.19 	0.44 	
23311 	32147 	05004896-0545117 	0.23 	0.375 	0.37 	
23693 	33262 	05053067-5728217 	-0.17 	0.12 		
24813 	34411 	05190848+4005565 	0.08 	0.12 	0.125 	
26779 	37394 	05412033+5328523 	0.09 	0.135 	0.34 	
27072 	38393 		-0.065 	0.05 	0.11 	
27913 	39587 	05542300+2016344 	-0.015 	-0.015 	0.36 	
29271 	43834 	06101448-7445107 	0.11 	0.17 	0.06 	
37279 	61421 	07391805+0513298 	-0.02 	0.175 	-0.005 	
37349 	61606 	07395932-0335506 		0.01 		
42438 	72905 	08391162+6501151 	-0.025 	-0.06 	0.25 	
42808 	74576 	08431805-3852569 	0.02 	0.23 		
46853 	82328 	09325151+5140384 	-0.17 	-0.03 	0.07 	
47080 	82885 	09353959+3548366 	0.28 	0.645 	0.58 	
51459 	90839 	10303759+5558501 	-0.09 	0.35 	0.02 	
56452 	100623 		-0.37 			
56997 	101501 	11410301+3412064 	-0.03 	0.2 	0.12 	
57757 	102870 	11504173+0145528 	0.13 	0.055 	0.23 	
58576 	104304 	12004444-1026452 	0.26 	0.58 	0.71 	
61317 	109358 	12334454+4121270 	-0.185 	-0.11 	0.02 	
64241 	114378 	13095936+1731456 	-0.23 	0.845 	0.28 	
64394 	114710 	13115238+2752411 	0.07 	0.07 		
64797 	115404 	13165106+1701021 	-0.12 	0.09 		
67422 	120476 		-0.07 	0.25 		
67927 	121370 	13544106+1823514 	0.28 	0.41 	0.42 	
68184 	122064 	13573203+6129343 	0.135 	0.14 	1.11 	
